movie_id,title,genres,plot_summary,director,stars
16,Casino (1995),Crime|Drama,"Casino is a crime film directed by Martin Scorsese that follows the rise and fall of mobster Sam 'Ace' Rothstein in the world of gambling and mafia-controlled casinos in Las Vegas. As Rothstein navigates the treacherous underworld, he faces challenges from his volatile friend Nicky Santoro and his tumultuous relationship with his wife Ginger. The movie delves into themes of power, greed, loyalty, and betrayal.",Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci"
17,Sense and Sensibility (1995),Drama|Romance,"Sense and Sensibility, directed by Ang Lee, is a period drama based on Jane Austen's novel. The story revolves around the Dashwood sisters, Elinor and Marianne, as they navigate love, heartbreak, and societal expectations in 19th century England. The film explores themes of class, romance, and the resilience of the human spirit.",Ang Lee,"Emma Thompson, Kate Winslet, Hugh Grant"
18,Four Rooms (1995),Comedy,"Four Rooms is a comedy anthology film directed by Quentin Tarantino and three other directors. The movie consists of four segments, each depicting bizarre and outrageous events that take place in a hotel on New Year's Eve. The quirky characters and absurd situations create a darkly humorous and chaotic narrative.",Quentin Tarantino,"Tim Roth, Amanda De Cadenet, David Proval"
19,Ace Ventura: When Nature Calls (1995),Comedy,"Ace Ventura: When Nature Calls is a comedy film directed by Steve Oedekerk. In this sequel, eccentric pet detective Ace Ventura embarks on a wild adventure to Africa to recover a sacred bat and rescue a tribe's missing warrior. The movie is filled with slapstick humor, zany antics, and Jim Carrey's signature comedic performance.",Steve Oedekerk,"Jim Carrey, Ian McNeice, Simon Callow"
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,"Money Train is an action thriller directed by Joseph Ruben that follows two foster brothers, John and Charlie, who work as transit cops and plan to rob the 'money train' that collects subway revenue. As their heist unfolds, they face obstacles from their supervisor, a love interest, and their own conflicting motives. The film blends suspense, humor, and camaraderie.",Joseph Ruben,"Wesley Snipes, Woody Harrelson, Jennifer Lopez"
21,Get Shorty (1995),Comedy|Crime|Thriller,"In 'Get Shorty', a Miami loan shark travels to Hollywood to collect a debt and ends up getting involved in the movie business. As he navigates the cutthroat world of filmmaking, he discovers his talent for producing exceeds his debt collection skills. With a mix of humor and crime, the protagonist finds himself in a complex web of relationships and power struggles.",Barry Sonnenfeld,"John Travolta, Gene Hackman, Rene Russo"
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,"'Copycat' follows a criminal psychologist and a detective as they hunt down a serial killer who mimics famous murderers from the past. The tension rises as the killer targets the psychologist, forcing her to confront her own fears and past traumas in a battle of wits and survival.",Jon Amiel,"Sigourney Weaver, Holly Hunter, Dermot Mulroney"
23,Assassins (1995),Action|Crime|Thriller,"In 'Assassins', two rival hitmen, one seasoned and one young and ambitious, find themselves on a collision course as they pursue the same target. Betrayal, intrigue, and action-packed sequences ensue as the assassins engage in a deadly game of cat and mouse.",Richard Donner,"Sylvester Stallone, Antonio Banderas, Julianne Moore"
24,Powder (1995),Drama|Sci-Fi,"'Powder' tells the story of a young albino man with unique electromagnetic abilities who faces prejudice and misunderstanding in a small town. As he tries to find his place in the world, he forms deep connections with those who see beyond his appearance and embrace his extraordinary gifts.",Victor Salva,"Mary Steenburgen, Sean Patrick Flanery, Jeff Goldblum"
25,Leaving Las Vegas (1995),Drama|Romance,"In 'Leaving Las Vegas', a self-destructive alcoholic screenwriter heads to Las Vegas with the intent to drink himself to death. There, he meets a prostitute who becomes his unlikely companion in a journey of despair, love, and redemption. Their tumultuous relationship explores themes of addiction, loneliness, and human connection.",Mike Figgis,"Nicolas Cage, Elisabeth Shue, Julian Sands"
26,Othello (1995),Drama,"Othello is a 1995 film adaptation of William Shakespeare's play of the same name. Directed by Oliver Parker, the movie follows the tragic story of Othello, a Moorish general in the Venetian army, and his ensign Iago who manipulates him into believing his wife Desdemona is unfaithful. Betrayal, jealousy, and revenge drive the characters to their fateful ends in this classic tale of love and deceit.",Oliver Parker,"Lawrence Fishburne, Kenneth Branagh, Irene Jacob"
27,Now and Then (1995),Children|Drama,"Now and Then is a 1995 coming-of-age film directed by Lesli Linka Glatter. The story revolves around four childhood friends who reunite as adults and reminisce about a life-changing summer in 1970. The movie explores themes of friendship, love, loss, and the passage of time as the women confront their past and present selves.",Lesli Linka Glatter,"Christina Ricci, Rosie O'Donnell, Thora Birch"
28,Persuasion (1995),Drama|Romance,"Persuasion is a 1995 adaptation of Jane Austen's novel of the same name. Directed by Roger Michell, the film follows Anne Elliot, a young woman who is persuaded to break off her engagement to a naval officer due to societal pressures. Years later, they meet again, and Anne must navigate her feelings and societal expectations. The movie explores themes of second chances, love, and societal norms.",Roger Michell,"Amanda Root, Ciarán Hinds, Susan Fleetwood"
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,"The City of Lost Children is a 1995 dark fantasy film directed by Marc Caro and Jean-Pierre Jeunet. Set in a surreal and dystopian world, the story follows a mad scientist who kidnaps children to steal their dreams. A circus strongman, One, sets out to rescue his adopted brother from the scientist's clutches. The film is a visually stunning and imaginative tale of innocence, loss, and wonder.","Marc Caro, Jean-Pierre Jeunet","Ron Perlman, Daniel Emilfork, Judith Vittet"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,"Shanghai Triad is a 1995 crime drama directed by Zhang Yimou. Set in 1930s Shanghai, the film follows a young boy who becomes the servant of a powerful triad boss. As he navigates the dangerous and opulent world of the triad, he uncovers dark secrets and betrayals that threaten his life and loyalty. The movie explores themes of power, loyalty, and the consequences of choices.",Zhang Yimou,"Gong Li, Li Baotian, Wang Xiaoxiao"
31,Dangerous Minds (1995),Drama,"Dangerous Minds is a drama film about a former Marine who takes on a teaching job at an inner-city high school. She struggles to connect with her students, who are from tough backgrounds and have little interest in learning. Through her unconventional teaching methods, she inspires her students to believe in themselves and strive for a better future. The film explores themes of education, race, and empowerment.",John N. Smith,"Michelle Pfeiffer, George Dzundza, Courtney B. Vance"
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,"Twelve Monkeys is a science fiction film that follows the story of a convict from a post-apocalyptic future who is sent back in time to gather information about a deadly virus that wiped out most of humanity. As he navigates the past, he encounters a psychiatrist and a group of activists. The film weaves a complex narrative of time travel, madness, and fate.",Terry Gilliam,"Bruce Willis, Madeleine Stowe, Brad Pitt"
33,Wings of Courage (1995),Adventure|Romance|IMAX,"Wings of Courage is a biographical drama that tells the story of the pioneers of aviation, Antoine de Saint-Exupéry and Jean Mermoz. The film explores their daring adventures as they push the boundaries of flight in South America. It delves into themes of courage, passion, and the pursuit of dreams.",Jean-Jacques Annaud,"Craig Sheffer, Val Kilmer, Elizabeth McGovern"
34,Babe (1995),Children|Drama,"Babe is a heartwarming family film about a pig who dreams of becoming a sheepdog. Raised by a border collie on a farm, Babe defies expectations and wins over the other animals with his kindness and determination. The film celebrates the power of friendship, acceptance, and believing in oneself.",Chris Noonan,"James Cromwell, Magda Szubanski, Christine Cavanaugh"
35,Carrington (1995),Drama|Romance,"Carrington is a biographical drama that explores the unconventional relationship between painter Dora Carrington and writer Lytton Strachey in early 20th-century England. The film delves into their complex bond, artistic pursuits, and the challenges they face in a society bound by conventions. It offers a poignant portrayal of love, art, and individuality.",Christopher Hampton,"Emma Thompson, Jonathan Pryce, Steven Waddington"
36,Dead Man Walking (1995),Crime|Drama,"Dead Man Walking is a powerful drama based on a true story. It follows the journey of Sister Helen Prejean, a nun who becomes a spiritual advisor to a death row inmate, Matthew Poncelet. As Sister Helen tries to help Matthew come to terms with his crimes and imminent execution, she also grapples with her own beliefs about forgiveness and justice. The film explores themes of redemption, compassion, and the complexities of the justice system.",Tim Robbins,"Susan Sarandon, Sean Penn, Robert Prosky"
37,Across the Sea of Time (1995),Documentary|IMAX,"Across the Sea of Time is a visually stunning adventure that follows the story of a young Russian immigrant boy, Tomas, who travels to America in search of his long-lost family. Through his journey, Tomas discovers the wonders of New York City and the history of immigration. The film combines elements of drama and documentary to showcase the beauty and challenges of cultural diversity and the immigrant experience.",Stephen Low,"Peter Reznik, Caroline Goodall, Michael Chapman"
38,It Takes Two (1995),Children|Comedy,"It Takes Two is a heartwarming family comedy about two identical girls, Amanda and Alyssa, who switch lives in order to bring their single parents together. The girls team up to outsmart their adults and create opportunities for love and happiness. Along the way, they learn valuable lessons about family, friendship, and the importance of communication. The film is a delightful mix of humor and heartfelt moments.",Andy Tennant,"Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen"
39,Clueless (1995),Comedy|Romance,"Clueless is a modern retelling of Jane Austen's novel Emma, set in a Beverly Hills high school. The film follows the fashionable and popular Cher Horowitz as she navigates the ups and downs of teenage life, friendship, and romance. With her friends by her side, Cher learns valuable lessons about empathy, self-discovery, and the true meaning of love. Clueless is a beloved teen comedy known for its witty dialogue and iconic fashion.",Amy Heckerling,"Alicia Silverstone, Stacey Dash, Brittany Murphy"
40,"Cry, the Beloved Country (1995)",Drama,"Cry, the Beloved Country is a poignant drama set in South Africa during the apartheid era. The film tells the story of a Zulu pastor, Stephen Kumalo, who travels to Johannesburg to search for his missing son, Absalom. As Stephen delves into the harsh realities of urban life and racial injustice, he grapples with his own beliefs and the legacy of his family. The film explores themes of forgiveness, reconciliation, and the enduring power of hope.",Darrell Roodt,"James Earl Jones, Richard Harris, Vusi Kunene"
41,Richard III (1995),Drama|War,"In this adaptation of William Shakespeare's play, Richard III, Ian McKellen portrays the ruthless and power-hungry King Richard III in a modern-day setting. The film follows Richard's manipulative and deceitful schemes to ascend the throne of England, leading to betrayal and violence in his path to power. As Richard's reign becomes more tyrannical, his enemies close in, ultimately resulting in a climactic battle for control of the kingdom.",Richard Loncraine,"Ian McKellen, Annette Bening, Jim Broadbent"
42,Dead Presidents (1995),Action|Crime|Drama,"Directed by Albert Hughes and Allen Hughes, Dead Presidents follows the story of Anthony Curtis, a young African American man who struggles to reintegrate into society after returning from the Vietnam War. Facing economic hardship and discrimination, Anthony joins a group of friends to execute a daring heist to secure their future. The film delves into themes of race, poverty, and the impact of war on individuals and communities.","Albert Hughes, Allen Hughes","Larenz Tate, Keith David, Chris Tucker"
43,Restoration (1995),Drama,"Set in the 17th century, Restoration tells the story of Robert Merivel, a talented young physician who is summoned to the court of King Charles II. Merivel's life takes a dramatic turn as he becomes the King's personal physician and is granted wealth and privilege. However, his newfound status comes at a cost as he grapples with love, betrayal, and the fragility of power in a turbulent era of political intrigue and social change.",Michael Hoffman,"Robert Downey Jr., Sam Neill, David Thewlis"
44,Mortal Kombat (1995),Action|Adventure|Fantasy,"Based on the popular video game franchise, Mortal Kombat follows a group of Earth's greatest warriors who are summoned to a mystical island to compete in a tournament that will determine the fate of the world. As they battle against powerful foes and supernatural forces, the fighters must discover their inner strength and overcome their personal demons to emerge victorious. The fate of humanity hangs in the balance as they face the ultimate challenge.",Paul W.S. Anderson,"Christopher Lambert, Robin Shou, Linden Ashby"
45,To Die For (1995),Comedy|Drama|Thriller,"Directed by Gus Van Sant, To Die For is a dark comedy that follows the ambitious and manipulative Suzanne Stone as she pursues her dream of becoming a famous news anchor. Suzanne's ruthless ambition leads her to orchestrate a sinister plot that involves her husband's murder, setting off a chain of events that spiral out of control. The film explores themes of media obsession, fame, and the destructive nature of unchecked ambition.",Gus Van Sant,"Nicole Kidman, Matt Dillon, Joaquin Phoenix"
46,How to Make an American Quilt (1995),Drama|Romance,"How to Make an American Quilt is a drama film directed by Jocelyn Moorhouse. The movie follows the story of a young woman who spends a summer with her grandmother and her quilting bee, learning about love and life through the tales of the women around her. As she contemplates her own future, she finds solace and wisdom in the stories shared by the women in the quilting circle.",Jocelyn Moorhouse,"Winona Ryder, Ellen Burstyn, Anne Bancroft"
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,"Seven, also known as Se7en, is a psychological thriller directed by David Fincher. The film follows two detectives, a rookie and a veteran, as they hunt down a serial killer who uses the seven deadly sins as his modus operandi. As the detectives get closer to the killer, they are drawn into a dark and twisted game that challenges their beliefs and morals.",David Fincher,"Brad Pitt, Morgan Freeman, Kevin Spacey"
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,"Pocahontas is an animated musical film directed by Mike Gabriel and Eric Goldberg. The movie tells the fictionalized story of the encounter between Native American woman Pocahontas and Englishman John Smith. Against a backdrop of cultural differences and prejudices, Pocahontas and John Smith find themselves drawn to each other, challenging the norms of their societies.","Mike Gabriel, Eric Goldberg","Irene Bedard, Mel Gibson, David Ogden Stiers"
49,When Night Is Falling (1995),Drama|Romance,"When Night Is Falling is a romantic drama film directed by Patricia Rozema. The movie follows the story of a university professor whose life is turned upside down when she falls in love with a circus performer. As she navigates the complexities of her newfound relationship and her own desires, she is forced to confront her own beliefs and fears.",Patricia Rozema,"Pascale Bussières, Rachael Crawford, Henry Czerny"
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,"The Usual Suspects is a neo-noir mystery film directed by Bryan Singer. The movie follows the interrogation of a conman named Verbal Kint, who recounts the events leading up to a deadly heist orchestrated by the mysterious criminal mastermind Keyser Söze. As the pieces of the puzzle come together, the truth becomes increasingly elusive.",Bryan Singer,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri"
