qualtrics_id,prolific_pid,condition,domain,duration_s,finished,progress,age,n_training,training_acc,n_responses,mean_choice_rt_ms,mean_feedback_rt_ms,feedback_action_rate,feedback_modify_rate,feedback_affirm_rate,feedback_remove_rate,eval_dv,eval_dv_direction,eval_skipped,eval_left_model,eval_right_model,pred_skipped,pred_dv,pred_signed_diff,pred_model
R_6jv2PrGBJcO4of6,5e6af189bdaa1a0b355f63ae,inference_categories,dailydilemmas,1008.0,True,100,47,5,1.0,20,20884.6,15449.65,0.26,0.26,0.0,0.0,2,+ ⇒ partial preferred,False,feedback_adjusted,standard,False,6,-0.828,feedback_adjusted
R_1dHqTtKKq3yQvmX,69ab25a0e0144d334bab3751,inference_categories,dailydilemmas,700.0,True,100,32,5,0.8,20,16820.95,7825.7,0.09,0.09,0.0,0.0,-1,+ ⇒ partial preferred,False,standard,feedback_adjusted,False,6,-1.2134,feedback_adjusted
R_1P81VK8fH860C4V,69edce07676eefa702a66710,inference_categories,dailydilemmas,1105.0,True,100,28,5,0.6,20,11204.5,3710.55,0.13,0.13,0.0,0.0,3,+ ⇒ partial preferred,False,feedback_adjusted,standard,False,4,-1.016,feedback_adjusted
R_7go085j249AymBb,69dc36008c70f0cb522934dc,inference_categories,dailydilemmas,680.0,True,100,38,5,0.8,20,12836.25,4928.6,0.0,0.0,0.0,0.0,-2,+ ⇒ partial preferred,False,feedback_adjusted,standard,False,6,-1.0698,feedback_adjusted
R_6xzSCFMWRhzZIRg,63a1ae117fa485cabe593f2a,inference_categories,dailydilemmas,1602.0,True,100,57,5,0.8,20,30924.05,21731.4,0.03,0.03,0.0,0.0,-1,+ ⇒ partial preferred,False,feedback_adjusted,standard,False,5,-0.529,feedback_adjusted
R_5EychZPB1u00qZH,66f878234e0e0f8629c315c0,inference_categories,dailydilemmas,1995.0,True,100,31,5,0.4,20,29573.1,4705.05,0.03,0.03,0.0,0.0,-2,+ ⇒ partial preferred,False,standard,feedback_adjusted,False,6,-0.6703,feedback_adjusted
R_59glCvaBnt5WTU6,5f37f046d1a0bd2af1cb0ce6,inference_categories,dailydilemmas,1305.0,True,100,66,5,0.8,20,29027.35,15816.65,0.0,0.0,0.0,0.0,2,+ ⇒ partial preferred,False,feedback_adjusted,standard,False,6,-0.6126,feedback_adjusted
R_1nBL27EvLs0Bkk4,697d24ec78d87cc0203076c5,inference_categories,dailydilemmas,1607.0,True,100,83,5,0.4,20,35209.3,12682.55,0.05,0.05,0.0,0.0,-2,+ ⇒ partial preferred,False,feedback_adjusted,standard,False,4,-0.8474,feedback_adjusted
R_6FsUQnzEYAQwtwa,664604e4f408d35be9aabad8,inference_categories,dailydilemmas,1585.0,True,100,36,5,1.0,20,20609.45,6582.55,0.01,0.01,0.0,0.0,1,+ ⇒ partial preferred,False,feedback_adjusted,standard,False,6,-0.5688,feedback_adjusted
R_5pX1jjp1Yu1RSN7,66295f0e9bcde360755403f0,inference_categories,dailydilemmas,1074.0,True,100,41,5,0.8,20,22814.65,20237.6,0.41,0.41,0.0,0.0,1,+ ⇒ partial preferred,False,feedback_adjusted,standard,False,6,-1.0494,feedback_adjusted
R_5DY1mtPtJpWz8WC,61086c714ebfaefbb62531b2,inference_categories,dailydilemmas,1871.0,True,100,26,5,0.8,20,70202.2,8983.6,0.21,0.21,0.0,0.0,1,+ ⇒ partial preferred,False,standard,feedback_adjusted,False,6,-1.3373,feedback_adjusted
R_1PN3SGDWOMibPAh,69b0e1b5db0b538ea771ff1d,inference_categories,dailydilemmas,3117.0,True,100,29,5,0.8,20,104979.8,17082.25,0.2,0.2,0.0,0.0,2,+ ⇒ partial preferred,False,standard,feedback_adjusted,False,6,-0.7066,feedback_adjusted
R_3SrBXsc2uYrsSZz,570d891d42a1db000fc65b4d,inference_categories,dailydilemmas,562.0,True,100,49,5,0.8,20,14097.55,6322.7,0.1,0.1,0.0,0.0,-1,+ ⇒ partial preferred,False,feedback_adjusted,standard,False,5,-0.7125,feedback_adjusted
R_7rNeEq8TvAxjqdL,69dfc80acfee5e3693080e2e,inference_categories,dailydilemmas,1075.0,True,100,36,5,1.0,20,23115.6,11458.9,0.15,0.15,0.0,0.0,-1,+ ⇒ partial preferred,False,feedback_adjusted,standard,False,6,-1.0411,feedback_adjusted
R_7QAkOtO6FETwKSv,6983a3793e0e14ce3517e6a5,inference_categories,dailydilemmas,1860.0,True,100,67,5,1.0,20,26405.8,43338.45,0.34,0.34,0.0,0.0,1,+ ⇒ partial preferred,False,feedback_adjusted,standard,False,6,-0.6371,feedback_adjusted
